Time,Center,Metric,Value
100.0,TraceDetection,TimeTotal,0.0
100.0,TraceDetection,NumTotal,0.0
100.0,TraceDetection,SystemResponseTime_Success,0.0
100.0,TraceDetection,BusyServers,0.0
100.0,TraceDetection,TimeQueue,0.0
100.0,TraceDetection,TimeService,0.0
100.0,TraceDetection,NumQueue,0.0
100.0,XRay,TimeTotal,44.88195592950189
100.0,XRay,NumTotal,7.0
100.0,XRay,SystemResponseTime_Success,0.0
100.0,XRay,BusyServers,6.0
100.0,XRay,TimeQueue,0.4232072401162643
100.0,XRay,TimeService,44.88195592950189
100.0,XRay,NumQueue,1.0
100.0,CheckIn,TimeTotal,0.0
100.0,CheckIn,NumTotal,4.0
100.0,CheckIn,SystemResponseTime_Success,0.0
100.0,CheckIn,BusyServers,4.0
100.0,CheckIn,TimeQueue,0.0
100.0,CheckIn,TimeService,0.0
100.0,CheckIn,NumQueue,0.0
100.0,Varchi,TimeTotal,17.085477661239484
100.0,Varchi,NumTotal,2.0
100.0,Varchi,SystemResponseTime_Success,0.0
100.0,Varchi,BusyServers,2.0
100.0,Varchi,TimeQueue,2.2325563498117704
100.0,Varchi,TimeService,14.853256027886593
100.0,Varchi,NumQueue,0.0
100.0,Recupero,TimeTotal,0.0
100.0,Recupero,NumTotal,2.0
100.0,Recupero,SystemResponseTime_Success,0.0
100.0,Recupero,BusyServers,2.0
100.0,Recupero,TimeQueue,0.0
100.0,Recupero,TimeService,0.0
100.0,Recupero,NumQueue,0.0
200.0,XRay,TimeTotal,49.87488929334478
200.0,XRay,NumTotal,5.0
200.0,XRay,SystemResponseTime_Success,123.89406036258313
200.0,XRay,BusyServers,4.0
200.0,XRay,TimeQueue,3.686562383716498
200.0,XRay,TimeService,46.96767950484894
200.0,XRay,NumQueue,1.0
200.0,TraceDetection,TimeTotal,68.16087726783957
200.0,TraceDetection,NumTotal,1.0
200.0,TraceDetection,SystemResponseTime_Success,123.89406036258313
200.0,TraceDetection,BusyServers,1.0
200.0,TraceDetection,TimeQueue,27.62308018480114
200.0,TraceDetection,TimeService,68.16087726783957
200.0,TraceDetection,NumQueue,0.0
200.0,Recupero,TimeTotal,88.70422080883732
200.0,Recupero,NumTotal,12.0
200.0,Recupero,SystemResponseTime_Success,123.89406036258313
200.0,Recupero,BusyServers,12.0
200.0,Recupero,TimeQueue,0.0
200.0,Recupero,TimeService,88.70422080883732
200.0,Recupero,NumQueue,0.0
200.0,Varchi,TimeTotal,16.946828750192147
200.0,Varchi,NumTotal,2.0
200.0,Varchi,SystemResponseTime_Success,123.89406036258313
200.0,Varchi,BusyServers,2.0
200.0,Varchi,TimeQueue,1.7644044046277163
200.0,Varchi,TimeService,14.996697566129928
200.0,Varchi,NumQueue,0.0
200.0,CheckIn,TimeTotal,121.09943113383608
200.0,CheckIn,NumTotal,5.0
200.0,CheckIn,SystemResponseTime_Success,123.89406036258313
200.0,CheckIn,BusyServers,5.0
200.0,CheckIn,TimeQueue,0.0
200.0,CheckIn,TimeService,121.09943113383608
200.0,CheckIn,NumQueue,0.0
300.0,Recupero,TimeTotal,123.7505442550379
300.0,Recupero,NumTotal,17.0
300.0,Recupero,SystemResponseTime_Success,192.51705063592135
300.0,Recupero,BusyServers,17.0
300.0,Recupero,TimeQueue,0.0
300.0,Recupero,TimeService,123.7505442550379
300.0,Recupero,NumQueue,0.0
300.0,CheckIn,TimeTotal,121.06720031304269
300.0,CheckIn,NumTotal,8.0
300.0,CheckIn,SystemResponseTime_Success,192.51705063592135
300.0,CheckIn,BusyServers,8.0
300.0,CheckIn,TimeQueue,0.0
300.0,CheckIn,TimeService,121.06720031304269
300.0,CheckIn,NumQueue,0.0
300.0,Varchi,TimeTotal,17.50447211445794
300.0,Varchi,NumTotal,1.0
300.0,Varchi,SystemResponseTime_Success,192.51705063592135
300.0,Varchi,BusyServers,1.0
300.0,Varchi,TimeQueue,2.405698783116906
300.0,Varchi,TimeService,15.028017484778774
300.0,Varchi,NumQueue,0.0
300.0,XRay,TimeTotal,49.913181501378205
300.0,XRay,NumTotal,8.0
300.0,XRay,SystemResponseTime_Success,192.51705063592135
300.0,XRay,BusyServers,6.0
300.0,XRay,TimeQueue,4.7966208780356
300.0,XRay,TimeService,45.29319252737028
300.0,XRay,NumQueue,2.0
300.0,TraceDetection,TimeTotal,97.93029388108953
300.0,TraceDetection,NumTotal,0.0
300.0,TraceDetection,SystemResponseTime_Success,192.51705063592135
300.0,TraceDetection,BusyServers,0.0
300.0,TraceDetection,TimeQueue,27.62308018480114
300.0,TraceDetection,TimeService,70.30721369628839
300.0,TraceDetection,NumQueue,0.0
400.0,Varchi,TimeTotal,18.282610442798187
400.0,Varchi,NumTotal,4.0
400.0,Varchi,SystemResponseTime_Success,226.97468139792207
400.0,Varchi,BusyServers,4.0
400.0,Varchi,TimeQueue,3.440933203972781
400.0,Varchi,TimeService,15.213144463981637
400.0,Varchi,NumQueue,0.0
400.0,XRay,TimeTotal,51.71617760355128
400.0,XRay,NumTotal,11.0
400.0,XRay,SystemResponseTime_Success,226.97468139792207
400.0,XRay,BusyServers,6.0
400.0,XRay,TimeQueue,8.7713837089631
400.0,XRay,TimeService,45.659250559464645
400.0,XRay,NumQueue,5.0
400.0,TraceDetection,TimeTotal,84.24813364629587
400.0,TraceDetection,NumTotal,1.0
400.0,TraceDetection,SystemResponseTime_Success,226.97468139792207
400.0,TraceDetection,BusyServers,1.0
400.0,TraceDetection,TimeQueue,16.05278249222875
400.0,TraceDetection,TimeService,65.83274685642844
400.0,TraceDetection,NumQueue,0.0
400.0,Recupero,TimeTotal,133.39792861078655
400.0,Recupero,NumTotal,15.0
400.0,Recupero,SystemResponseTime_Success,226.97468139792207
400.0,Recupero,BusyServers,15.0
400.0,Recupero,TimeQueue,0.0
400.0,Recupero,TimeService,133.39792861078655
