Time,Center,Metric,Value
400.0,CheckIn,TimeTotal,97.04585091270357
400.0,CheckIn,NumTotal,5.0
400.0,CheckIn,SystemResponseTime_Success,207.75421719604074
400.0,CheckIn,BusyServers,5.0
400.0,CheckIn,TimeQueue,0.0
400.0,CheckIn,TimeService,97.04585091270357
400.0,CheckIn,NumQueue,0.0
400.0,XRay,TimeTotal,65.90253501237198
400.0,XRay,NumTotal,18.0
400.0,XRay,SystemResponseTime_Success,207.75421719604074
400.0,XRay,BusyServers,6.0
400.0,XRay,TimeQueue,21.482399813336933
400.0,XRay,TimeService,50.429728485309056
400.0,XRay,NumQueue,12.0
400.0,TraceDetection,TimeTotal,53.60252529218476
400.0,TraceDetection,NumTotal,0.0
400.0,TraceDetection,SystemResponseTime_Success,207.75421719604074
400.0,TraceDetection,BusyServers,0.0
400.0,TraceDetection,TimeQueue,0.0
400.0,TraceDetection,TimeService,53.60252529218476
400.0,TraceDetection,NumQueue,0.0
400.0,Varchi,TimeTotal,14.939637587776161
400.0,Varchi,NumTotal,1.0
400.0,Varchi,SystemResponseTime_Success,207.75421719604074
400.0,Varchi,BusyServers,1.0
400.0,Varchi,TimeQueue,1.9126186191166297
400.0,Varchi,TimeService,12.992244084675592
400.0,Varchi,NumQueue,0.0
400.0,Recupero,TimeTotal,112.65217019388308
400.0,Recupero,NumTotal,14.0
400.0,Recupero,SystemResponseTime_Success,207.75421719604074
400.0,Recupero,BusyServers,14.0
400.0,Recupero,TimeQueue,0.0
400.0,Recupero,TimeService,112.65217019388308
400.0,Recupero,NumQueue,0.0
800.0,Varchi,TimeTotal,13.718043238802125
800.0,Varchi,NumTotal,2.0
800.0,Varchi,SystemResponseTime_Success,262.9639911065191
800.0,Varchi,BusyServers,2.0
800.0,Varchi,TimeQueue,1.7282127072482434
800.0,Varchi,TimeService,12.006765373974472
800.0,Varchi,NumQueue,0.0
800.0,XRay,TimeTotal,120.18060840262436
800.0,XRay,NumTotal,36.0
800.0,XRay,SystemResponseTime_Success,262.9639911065191
800.0,XRay,BusyServers,6.0
800.0,XRay,TimeQueue,75.84147125609456
800.0,XRay,TimeService,51.80790742056579
800.0,XRay,NumQueue,30.0
800.0,TraceDetection,TimeTotal,59.25910375340835
800.0,TraceDetection,NumTotal,0.0
800.0,TraceDetection,SystemResponseTime_Success,262.9639911065191
800.0,TraceDetection,BusyServers,0.0
800.0,TraceDetection,TimeQueue,3.6397436445091293
800.0,TraceDetection,TimeService,55.61936010889922
800.0,TraceDetection,NumQueue,0.0
800.0,Recupero,TimeTotal,119.75342141669849
800.0,Recupero,NumTotal,15.0
800.0,Recupero,SystemResponseTime_Success,262.9639911065191
800.0,Recupero,BusyServers,15.0
800.0,Recupero,TimeQueue,0.0
800.0,Recupero,TimeService,119.75342141669849
800.0,Recupero,NumQueue,0.0
800.0,CheckIn,TimeTotal,99.27627858854247
800.0,CheckIn,NumTotal,9.0
800.0,CheckIn,SystemResponseTime_Success,262.9639911065191
800.0,CheckIn,BusyServers,8.0
800.0,CheckIn,TimeQueue,2.8040042419643956
800.0,CheckIn,TimeService,98.48412989339934
800.0,CheckIn,NumQueue,1.0
1200.0,Recupero,TimeTotal,120.47362384119542
1200.0,Recupero,NumTotal,15.0
1200.0,Recupero,SystemResponseTime_Success,334.5403581581599
1200.0,Recupero,BusyServers,15.0
1200.0,Recupero,TimeQueue,0.0
1200.0,Recupero,TimeService,120.47362384119542
1200.0,Recupero,NumQueue,0.0
1200.0,CheckIn,TimeTotal,106.13331909652396
1200.0,CheckIn,NumTotal,3.0
